61;0,86;8;0,5;5;4;Si;61;0,758;14;0,674;10;37;No;18;28;Si;61
62;0,632;7;0,986;7;4;Si;62;0,836;14;0,429;10;38;No;18;28;Si;62
63;0,807;7;0,162;3;4;Si;63;0,145;10;0,425;10;30;Si;19;24;Si;63
64;0,685;7;0,95;7;4;Si;64;0,216;10;0,134;8;32;Si;20;22;Si;64
65;0,347;6;0,2;5;4;Si;65;0,658;14;0,852;10;35;No;20;28;Si;65
66;0,493;6;0,128;3;4;Si;66;0,672;14;0,548;10;33;No;20;28;Si;66
67;0,757;7;0,659;5;4;Si;67;0,283;12;0,668;10;34;No;20;26;Si;67
68;0,534;6;0,234;5;4;Si;68;0,615;14;0,223;8;33;No;20;26;Si;68
69;0,005;5;0,44;5;4;Si;69;0,465;12;0,78;10;32;Si;21;26;Si;69
70;0,767;7;0,79;7;4;Si;70;0,877;16;0,203;8;38;No;21;28;Si;70
71;0,185;5;0,472;5;4;Si;71;0,809;14;0,626;10;34;No;21;28;Si;71
72;0,437;6;0,8;7;4;Si;72;0,298;12;0,936;10;35;No;21;26;Si;72
73;0,587;6;0,076;3;4;Si;73;0,916;16;0,933;10;35;No;21;30;Si;73
74;0,485;6;0,421;5;4;Si;74;0,039;10;0,404;10;31;Si;22;24;Si;74
75;0,045;5;0,723;5;4;Si;75;0,656;14;0,031;8;32;Si;23;26;Si;75
76;0,007;5;0,308;5;4;Si;76;0,879;16;0,478;10;36;No;23;30;Si;76
77;0,228;5;0,774;7;4;Si;77;0,959;16;0,942;10;38;No;23;30;Si;77
78;0,888;8;0,204;5;4;Si;78;0,213;10;0,747;10;33;No;23;24;Si;78
79;0,867;8;0,667;5;4;Si;79;0,373;12;0,614;10;35;No;23;26;Si;79
80;0,668;7;0,647;5;4;Si;80;0,255;12;0,977;10;34;No;23;26;Si;80
81;0,79;7;0,839;7;4;Si;81;0,107;10;0,016;8;32;Si;24;22;Si;81
82;0,627;7;0,616;5;4;Si;82;0,524;12;0,89;10;34;No;24;26;Si;82
